# id r g b
1211 206 176 135
780 206 38 221
840 172 239 102
154 166 51 180
827 153 102 239
495 135 206 179
545 37 180 188
57 219 32 203
170 51 180 145
492 142 206 135
1282 131 24 77
594 153 237 134
564 184 206 135
866 193 218 118
387 197 142 61
805 180 51 163
446 26 132 196
438 119 196 26
1260 184 134 17
609 184 94 17
856 203 118 218
863 218 171 118
91 233 248 127
388 197 174 61
120 127 248 147
1093 26 196 137
763 248 186 127
54 101 32 219
590 237 222 134
423 118 184 218
930 143 38 200
85 248 127 166
793 38 221 45
888 237 122 104
502 9 97 208
235 237 104 182
975 41 95 204
1066 152 218 118
574 135 156 206
1288 131 125 24
1168 129 208 9
820 51 180 145
295 38 200 79
681 221 47 247
1041 122 197 61
705 145 32 219
628 82 24 131
230 133 104 237
289 200 169 38
1187 168 188 37
788 221 191 38
284 200 38 101
899 104 237 207
679 125 47 247
392 89 197 61
612 154 184 17
613 114 184 17
991 121 204 41
393 61 197 66
1152 9 97 208
976 41 56 204
243 192 237 104
336 204 91 41
830 239 102 227
351 77 149 240
864 218 195 118
134 221 38 61
465 187 229 23
86 248 127 137
340 160 204 41
350 77 188 240
982 204 41 147
320 4 211 173
652 0 81 255
1276 31 24 131
109 248 127 185
410 218 140 118
940 192 200 38
1262 154 184 17
280 143 38 200
403 172 118 218
1096 26 132 196
1190 59 188 37
142 75 221 38
224 118 201 218
458 229 23 121
750 127 204 248
302 106 4 211
1283 131 24 52
1236 237 134 145
1027 87 61 197
1123 23 204 229
592 203 237 134
551 148 135 206
470 23 229 106
384 197 61 78
659 255 0 162
1169 82 208 9
797 38 221 220
755 195 127 248
1234 237 134 195
565 167 206 135
747 127 248 195
1063 218 212 118
512 208 9 18
396 61 197 163
1148 135 182 206
1115 187 229 23
519 82 208 9
135 221 59 38
190 172 239 102
1170 34 208 9
147 38 221 220
1145 135 206 179
816 81 180 51
766 223 248 127
407 218 118 168
722 32 219 160
703 56 32 219
362 240 109 77
741 233 248 127
286 200 53 38
552 165 135 206
274 77 198 240
550 135 139 206
37 247 109 47
318 4 211 73
716 173 219 32
391 122 197 61
974 4 51 211
330 183 41 204
194 102 239 164
242 224 237 104
1029 153 61 197
357 240 77 240
1005 162 77 240
184 239 109 102
292 114 200 38
872 118 218 187
1198 37 71 188
312 211 189 4
625 24 43 131
55 145 32 219
322 4 150 211
1171 9 208 32
36 247 61 47
656 164 0 255
627 56 24 131
769 136 248 127
175 102 117 239
876 104 203 237
896 104 237 111
1083 196 69 26
226 104 203 237
355 162 77 240
1046 61 197 163
427 165 26 196
543 37 188 123
854 155 118 218
452 40 23 229
413 218 212 118
272 77 240 204
79 156 127 248
927 38 49 200
1001 77 149 240
61 219 41 32
421 118 218 204
717 128 219 32
237 237 104 118
156 180 51 132
62 219 86 32
1162 208 9 18
1014 240 188 77
172 51 153 180
668 121 255 0
385 197 76 61
123 127 248 234
455 188 23 229
1229 156 134 237
236 237 104 150
291 153 200 38
275 38 127 200
503 9 50 208
595 134 237 139
1204 199 135 206
104 166 127 248
1053 172 118 218
855 179 118 218
473 23 204 229
1134 206 135 137
241 237 218 104
405 218 118 216
1212 206 193 135
1224 135 156 206
663 255 83 0
1009 240 77 162
803 135 51 180
1253 184 17 181
118 165 248 127
791 119 221 38
845 102 239 197
306 211 4 117
729 156 127 248
516 208 191 9
799 38 134 221
1003 83 77 240
1124 23 154 229
1201 148 135 206
260 240 77 94
1122 23 229 205
